"","domain","freq","score","wilson_cat"
"587","pressofatlanticcity",328,0.108,"Right"
"588","pressrepublican",2,-0.0708,"Center"
"589","presstelegram",12,-0.2562,"Left"
"590","prnewswire",83,0.0483,"Center"
"591","progressive",6,-0.8814,"Left"
"592","project-syndicate",3,-0.4049,"Left"
"593","projectveritas",9,0.8903,"Right"
"594","propublica",183,-0.6551,"Left"
"595","prospect",9,-0.7318,"Left"
"596","providencejournal",25,-0.3751,"Left"
"597","prweb",6,0.1293,"Right"
"598","psmag",44,-0.5787,"Left"
"599","publicintegrity",2,-0.3638,"Left"
"600","publicopiniononline",19,0.337,"Right"
"601","publicpolicypolling",7,-0.3491,"Left"
"602","qchron",2,-0.5258,"Left"
"603","qconline",20,0.045,"Center"
"604","qctimes",144,0.2881,"Right"
"605","qz",375,-0.3721,"Left"
"606","rapidcityjournal",5,0.2475,"Right"
"607","rappler",16,-0.2073,"Left"
"608","rare",23,0.5831,"Right"
"609","rasmussenreports",399,0.7963,"Right"
"610","rawstory",681,-0.6161,"Left"
"611","rcnky",1,0.4172,"Right"
"612","rd",511,0.1398,"Right"
"613","readingeagle",8,0.1776,"Right"
"614","realclearpolitics",253,0.568,"Right"
"615","reason",420,0.3846,"Right"
"616","recordnet",2,0.0859,"Center"
"617","recordonline",25,-0.0162,"Center"
"618","redding",1,0.1458,"Right"
"619","redstate",54,0.7672,"Right"
"620","reflector",18,-0.0578,"Center"
"621","register-herald",2,0.1274,"Right"
"622","registercitizen",3,0.0268,"Center"
"623","registerguard",5,-0.1947,"Center"
"624","rep-am",1,0.2101,"Right"
"625","reporterherald",1,0.2672,"Right"
"626","repubblica",7,-0.0197,"Center"
"627","republicanherald",1,0.2475,"Right"
"628","reuters",2525,-0.1287,"Center"
"629","reuters",15,-0.4307,"Left"
"630","revealnews",12,-0.6576,"Left"
"631","reviewjournal",215,0.1918,"Right"
"632","rferl",19,-0.4119,"Left"
"633","rgj",59,0.1664,"Right"
"634","richmond",350,0.0133,"Center"
"635","richmondregister",30,0.2305,"Right"
"636","rightwingwatch",25,-0.6068,"Left"
"637","riverfronttimes",43,-0.4402,"Left"
"638","roanoke",46,-0.0978,"Center"
"639","robesonian",4,0.5139,"Right"
"640","rollcall",37,-0.1641,"Center"
"641","rsf",12,-0.5034,"Left"
"642","rt",300,0.1466,"Right"
"643","rutlandherald",34,-0.1776,"Center"
"644","sacbee",88,-0.1316,"Center"
"645","sacurrent",2,-0.7248,"Left"
"646","salemnews",14,-0.2097,"Left"
"647","salina",3,0.5187,"Right"
"648","salisburypost",17,0.4362,"Right"
"649","salon",354,-0.5926,"Left"
"650","sandiegoreader",14,0.0358,"Center"
"651","sandiegouniontribune",291,-0.0839,"Center"
"652","sanluisobispo",519,-0.0584,"Center"
