"person_id","visits_u_w1","day_range_w1","active_days_w1","count_domains_w1","visits_u_w2","day_range_w2","active_days_w2","count_domains_w2","page_center_w1","page_left_w1","page_right_w1","page_center_w2","page_left_w2","page_right_w2","domain_center_w1","domain_left_w1","domain_right_w1","domain_center_w2","domain_left_w2","domain_right_w2","page_center_mean_w1","page_left_mean_w1","page_right_mean_w1","page_center_mean_w2","page_left_mean_w2","page_right_mean_w2","domain_center_mean_w1","domain_left_mean_w1","domain_right_mean_w1","domain_center_mean_w2","domain_left_mean_w2","domain_right_mean_w2","page_center_perc_w1","page_left_perc_w1","page_right_perc_w1","page_center_perc_w2","page_left_perc_w2","page_right_perc_w2","domain_center_perc_w1","domain_left_perc_w1","domain_right_perc_w1","domain_center_perc_w2","domain_left_perc_w2","domain_right_perc_w2"
"13-weak-ferrets-felt-easily",13662,91,92,660,19385,88,88,785,7,7,3,11,3,24,7,7,3,11,3,24,0.0760869565217391,0.0760869565217391,0.0326086956521739,0.125,0.0340909090909091,0.272727272727273,0.0760869565217391,0.0760869565217391,0.0326086956521739,0.125,0.0340909090909091,0.272727272727273,0.000512370077587469,0.000512370077587469,0.000219587176108915,0.000567449058550426,0.000154758834150116,0.00123807067320093,0.000512370077587469,0.000512370077587469,0.000219587176108915,0.000567449058550426,0.000154758834150116,0.00123807067320093
"13-whole-weasels-kissed-cordially",41455,91,92,1565,3354,81,28,342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14-careful-crows-married-carefully",1258,91,67,128,3840,88,56,184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14-clear-pikes-floundered-quietly",5743,48,40,286,2982,31,26,141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14-deep-badgers-danced-quietly",34025,92,93,1971,15937,86,87,761,129,59,35,70,2,0,264,62,35,165,3,0,1.38709677419355,0.634408602150538,0.376344086021505,0.804597701149425,0.0229885057471264,0,2.83870967741935,0.666666666666667,0.376344086021505,1.89655172413793,0.0344827586206897,0,0.003791329904482,0.00173401910360029,0.00102865540044085,0.00439229466022463,0.000125494133149275,0,0.00775900073475386,0.00182218956649522,0.00102865540044085,0.0103532659848152,0.000188241199723913,0
"14-dirty-peafowl-played-correctly",2078,9,10,220,12365,87,87,770,14,6,2,6,11,11,14,8,2,6,14,11,1.4,0.6,0.2,0.0689655172413793,0.126436781609195,0.126436781609195,1.4,0.8,0.2,0.0689655172413793,0.160919540229885,0.126436781609195,0.00673724735322425,0.00288739172281039,0.000962463907603465,0.000485240598463405,0.000889607763849575,0.000889607763849575,0.00673724735322425,0.00384985563041386,0.000962463907603465,0.000485240598463405,0.00113222806308128,0.000889607763849575
"14-far-newts-hugged-quietly",28717,91,90,1644,32541,88,89,2058,94,107,6,392,177,24,105,119,6,735,191,24,1.04444444444444,1.18888888888889,0.0666666666666667,4.40449438202247,1.98876404494382,0.269662921348315,1.16666666666667,1.32222222222222,0.0666666666666667,8.25842696629213,2.14606741573034,0.269662921348315,0.00327332242225859,0.00372601594874116,0.000208935473761187,0.012046341538367,0.00543929197012999,0.000737531114593897,0.00365637079082077,0.00414388689626354,0.000208935473761187,0.0225868903844381,0.0058695184536431,0.000737531114593897
"14-happy-lobsters-talked-fast",5618,90,85,370,2801,15,15,159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14-hard-moles-played-quickly",21993,91,89,733,4157,89,87,256,224,208,1,0,8,0,322,542,1,7,88,0,2.51685393258427,2.33707865168539,0.0112359550561798,0,0.0919540229885057,0,3.61797752808989,6.08988764044944,0.0112359550561798,0.0804597701149425,1.01149425287356,0,0.0101850588823717,0.00945755467648797,4.54690128677306e-05,0,0.00192446475823911,0,0.0146410221434093,0.02464420497431,4.54690128677306e-05,0.00168390666345923,0.0211691123406303,0
"14-long-hawks-jumped-merrily",12460,91,90,478,1520,81,25,88,18,23,1,0,2,0,18,23,1,1,2,0,0.2,0.255555555555556,0.0111111111111111,0,0.08,0,0.2,0.255555555555556,0.0111111111111111,0.04,0.08,0,0.0014446227929374,0.00184590690208668,8.02568218298555e-05,0,0.00131578947368421,0,0.0014446227929374,0.00184590690208668,8.02568218298555e-05,0.000657894736842105,0.00131578947368421,0
